Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
RNU6-1320P	2	q11.1	94846533	94846639
RF00012	7	p21.3	10222797	10223011
RNU6-885P	10	q11.21	42832447	42832550
RNU6-102P	7	q31.33	124647719	124647822
MIR4306	13	q32.3	99643059	99643149
RF00569	3	p21.1	52691378	52691453
AC023491.2	KI270731.1		10598	13001
RN7SL260P	8	q24.3	142247585	142247866
MIR6750	11	q13.1	64898363	64898437
RF00019	1	q24.3	171253906	171254022
AC012314.34	CHR_HSCHR19LRC_PGF2_CTG3_1		54102906	54107026
RNU6-516P	15	q15.1	40529570	40529673
RF00019	17	q21.33	49416744	49416850
RNU7-14P	20	q13.2	53668697	53668758
RNU6-927P	12	q24.31	124901512	124901611
RNU6-1273P	12	q13.12	51037499	51037602
MIR1287	10	q24.2	98395218	98395307
SNORA70E	11	q14.1	83041464	83041598
RF00017	19	q13.33	50019019	50019320
MIR4427	1	q42.2	233624152	233624219
RNU6-588P	5	q32	149606637	149606741
RF01210	1	p36.11	26642286	26642389
RF00019	10	p13	13511206	13511313
SNORD36C	CHR_HG2030_PATCH		133350995	133351060
MIR4252	1	p36.31	6429834	6429896
RNU6-1016P	6	q14.1	75644084	75644177
RF00181	14	q32.31	100998467	100998541
MIR5692A2	8	p23.1	12719132	12719190
SNORD114-27	14	q32.31	100988161	100988230
SNORD92	2	p23.2	28913664	28913748
RN7SL361P	2	p16.1	60640705	60641002
RF00017	12	p13.31	7856169	7856471
RF00019	15	q15.2	43247680	43247781
RF00156	12	q24.31	121107043	121107174
MIR4646	6	p21.33	31701029	31701091
RNY1P16	12	q23.2	101719808	101719918
RNU7-180P	5	q32	146245191	146245253
RNU1-119P	15	q21.1	44884616	44884780
SNORD115-44	15	q11.2	25250859	25250940
RF00019	CHR_HSCHR15_3_CTG8		44844600	44844712
RNU6-951P	2	p22.2	38147415	38147521
RF00409	8	q11.21	51015021	51015165
RNA5SP22	1	p31.1	78094807	78094915
RPL7A	CHR_HG2030_PATCH		133348362	133351574
RN7SKP109	19	q13.42	55737285	55737600
RF00019	15	q21.2	51884556	51884653
RNA5-8SN2	KI270733.1		173956	174108
RNU6-912P	7	q11.21	65814672	65814775
MIR548BA	2	p16.3	49059603	49059658
RF00019	5	p14.2	23994502	23994603
RNU6-1316P	14	q32.32	102865856	102865963
RN7SL788P	1	p32.3	52150104	52150419
RNA5SP262	8	p12	32192028	32192153
RNU6-356P	8	p11.21	41032892	41032998
RN7SL546P	14	q32.31	102582888	102583177
SNORD115-39	15	q11.2	25241746	25241827
RNU6-77P	13	q31.1	81265747	81265837
MIR769	19	q13.32	46018932	46019049
RNU6-904P	2	q22.1	141167257	141167357
RF00492	22	q11.21	18605355	18605497
TJP1	CHR_HSCHR15_4_CTG8		29850002	29972346
RNU6-239P	1	q21.3	154295503	154295601
RF00019	2	q14.1	112579484	112579584
MIR6796	19	q13.2	40369846	40369907
RNU6-1215P	2	p24.2	18583367	18583468
SNORD60	16	p13.3	2155023	2155105
RF00019	9	p23	12885321	12885417
RNA5SP122	2	q37.3	241584968	241585075
VARS2	CHR_HSCHR6_MHC_COX_CTG1		30904070	30916173
RF00019	10	q22.1	73082494	73082595
RNU6-693P	1	q24.3	172613428	172613534
RF01973	KI270721.1		52666	52734
MIR1270	19	p12	20399272	20399354
SNORD15A	11	q13.4	75400391	75400538
RNU6-796P	15	q25.3	84939617	84939723
MIR4659A	8	p23.1	6745164	6745244
RNA5SP192	5	q31.1	132848577	132848696
SNORD115-33	15	q11.2	25230838	25230919
MIR21	17	q23.1	59841266	59841337
RF00322	7	p12.1	52269437	52269569
RN7SL317P	19	q13.42	53629713	53630041
RNU6-861P	6	q22.33	129436875	129436980
RF00019	15	q14	33722492	33722596
RF00003	CHR_HSCHR6_MHC_MCF_CTG1		32586571	32586718
RF00019	7	p21.2	14010669	14010763
MIR4642	6	p21.1	44435641	44435722
RNA5SP126	3	p24.2	25352284	25352392
RNU6-460P	5	q31.2	138116573	138116680
RNU1-29P	7	q31.31	120005976	120006101
RN7SL156P	20	q11.23	36870099	36870402
RNY3P9	13	q14.11	40226827	40226932
RF00019	CHR_HSCHR17_7_CTG4		38031608	38031709
RF00560	2	q31.3	179934402	179934527
MIR607	10	q24.1	96828669	96828764
MIR3621	9	q34.3	137169186	137169270
RF00019	20	q13.13	50563009	50563110
MIR3199-1	22	q12.1	27920525	27920612
RNA5SP526	17	q12	38144201	38144287
MIR6848	8	q24.3	144317246	144317315
RNU1-93P	2	q37.1	231133462	231133630
RF00019	17	q23.3	64390158	64390263
RF00019	7	p14.1	40128121	40128232
RF00026	2	p11.2	88367793	88367862
MIR548AG2	20	q13.33	60564562	60564625
MIR6838	7	p13	44073378	44073433
RF00026	CHR_HSCHR17_7_CTG4		37912034	37912140
RNU4-36P	16	q22.1	68535515	68535658
MIR1275	6	p21.31	33999972	34000051
RF00017	17	q21.31	45526466	45526746
MIR7150	9	q33.3	123485529	123485622
RNA5SP272	8	q21.3	88396437	88396547
MIR517A	19	q13.42	53712268	53712354
SNORD117	CHR_HSCHR6_MHC_DBB_CTG1		31518553	31518628
RNU6-205P	4	q25	110278185	110278291
AC012314.18	CHR_HSCHR19LRC_LRC_T_CTG3_1		54102906	54107026
RN7SL687P	X	q28	153666226	153666510
MIR4637	5	p15.2	14825929	14826012
MIR6784	17	q21.31	45114367	45114433
MIR4540	9	p13.2	36864254	36864308
RF00019	3	p14.2	61739127	61739229
MIR4763	22	q13.31	46113566	46113657
RF00019	14	q23.3	66177527	66177635
SNORD114-11	14	q32.31	100968111	100968185
SNORD56B	14	q24.2	71398337	71398407
MIR182	7	q32.2	129770383	129770492
RF00019	5	q31.2	139554900	139555001
MIR592	7	q31.33	127058088	127058184
RF00004	17	q21.31	43290291	43290481
RNA5SP267	8	q12.1	59455885	59456010
RF02137	7	p15.2	27185433	27185530
RNY3P1	5	q14.1	79170234	79170335
MIR433	14	q32.2	100881886	100881978
RNU6-129P	10	q23.1	83764358	83764464
RF00019	X	p22.2	16912215	16912317
RF00019	17	q23.2	62036833	62036945
RF00017	12	q13.2	55731264	55731531
SNORA54	11	p15.4	2963771	2963893
RNU6-206P	7	q34	139315291	139315394
RF00019	11	p15.5	2372638	2372750
MIR4639	6	p22.3	16141556	16141624
MIR3160-1	11	p11.2	46451805	46451889
RF00012	2	q14.1	114005440	114005655
RF00019	17	q24.3	69985986	69986094
RNU6-826P	17	q21.32	49036352	49036455
RF00026	4	q13.3	70848136	70848218
RNU6-987P	6	p22.2	25383599	25383702
MIR4732	17	q11.2	28861655	28861730
MIR5699	10	p15.3	641689	641778
RNU6-944P	16	p12.3	20784509	20784615
RNU6-171P	1	q23.3	164639565	164639671
MIR365A	16	p13.12	14309285	14309371
MIR4255	1	p34.3	37161563	37161634
SNORD14D	11	q24.1	123058909	123058995
RNA5SP438	17	q12	34120056	34120167
RF00026	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1		54868959	54869065
RNU7-134P	17	q22	57685529	57685592
RNU6-1113P	6	p21.1	43474186	43474292
RN7SL384P	10	q25.3	114423770	114424067
RNU1-31P	2	q37.2	236210373	236210548
SNORA41B	15	q21.1	45537250	45537377
RF00019	14	q23.2	63848261	63848362
SNORD88A	19	q13.33	50799442	50799532
RF00424	1	p36.23	9082696	9082879
MIR5191	1	q32.1	201719508	201719627
RF00026	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54868982	54869088
RN7SL738P	3	q29	196399911	196400207
RNU6-14P	9	p22.3	15776181	15776286
SNORA81	3	q27.3	186786675	186786852
RF00554	12	q13.3	56861375	56861508
RNU6-523P	10	q21.3	67858818	67858871
MIR1827	12	q23.1	100189884	100189949
RNU2-69P	18	q21.32	58926197	58926296
RF00019	6	q15	89841329	89841424
RN7SL186P	1	p36.12	22010650	22010946
RNU6-416P	16	p11.2	30675300	30675402
MIR6751	11	q13.1	65129916	65129978
RF00019	1	p36.12	23370254	23370346
RF00411	X	q22.1	100822620	100822752
RNU6-544P	11	q14.1	80527960	80528066
RNA5SP95	2	p16.1	60998752	60998888
MBOAT7	CHR_HSCHR19LRC_COX2_CTG3_1		54173854	54190480
OSCAR	CHR_HSCHR19LRC_PGF2_CTG3_1		54094681	54102740
RNU4-85P	3	p24.3	19996803	19996925
RF00004	9	q33.1	115734392	115734491
RN7SL563P	8	q22.3	101397636	101397933
RF00019	11	p13	33171381	33171490
RNU6-902P	19	q13.31	44085213	44085303
RNA5SP269	8	q13.2	68695643	68695779
RNA5-8SP7	20	p12.3	5346006	5346160
RN7SL125P	17	q21.32	48765554	48765847
SNORD18A	15	q22.31	66503243	66503314
RF00019	11	q23.3	118836010	118836111
RF00156	Y	q11.223	23423099	23423236
SCARNA20	17	q23.2	60231516	60231646
SNORD114-16	14	q32.31	100973595	100973664
RF00568	20	q12	41712479	41712600
SNORD115-38	15	q11.2	25239838	25239919
RF00012	17	q21.31	44303965	44304203
RNU6-221P	2	p16.1	55456106	55456204
RN7SL760P	8	q21.11	73833773	73834042
RF00019	12	q24.13	112149360	112149472
RF00019	10	q24.33	103673158	103673265
RF00012	6	q14.1	75398860	75399067
RN7SKP250	12	q24.11	109662863	109663183
RNU6-653P	6	q21	109059509	109059614
NLRP2	CHR_HSCHR19LRC_COX2_CTG3_1		54636119	54671975
RN7SL698P	3	q21.3	128785147	128785448
RNU6ATAC4P	3	p22.2	36968191	36968316
RN7SL581P	X	q13.1	70222006	70222314
SNORD113-1	14	q32.31	100924824	100924892
RNU6-435P	18	q11.2	24218300	24218404
RNA5SP453	18	q12.1	32176050	32176168
RN7SL600P	1	q21.2	150568971	150569269
RF00092	3	q27.1	183453814	183453944
RF00019	CHR_HSCHR16_1_CTG1		16399228	16399327
SNORD32B	CHR_HSCHR6_MHC_COX_CTG1		29578848	29578931
RNA5SP452	18	q11.2	24170505	24170623
RF00561	5	q13.3	74882656	74882783
RF00019	22	q11.21	19045256	19045367
RF00402	1	q44	246833448	246833529
RF00537	12	q23.1	97552137	97552228
RNU1-92P	1	q21.1	143720510	143720644
RNA5SP405	16	p12.1	26028912	26029025
RN7SL73P	3	q29	195553792	195554043
RF00019	3	q25.2	153607377	153607479
RNU6-994P	20	q13.33	63337339	63337449
RF02271	12	p11.22	27824207	27824382
RNA5S14	1	q42.13	228639337	228639455
SNORD32B	CHR_HSCHR6_MHC_APD_CTG1		29582350	29582433
RF00019	21	p11.2	7092616	7092716
RNU4-35P	6	q22.31	121453981	121454121
RN7SKP193	14	q21.3	50068568	50068873
SNORD115-32	15	q11.2	25228967	25229048
RF00012	10	p12.1	28408039	28408251
AC018816.2	3	p26.1	4750333	4750685
SNORA28	14	q32.32	103337849	103337974
RNU6-244P	14	q32.31	102501676	102501779
SNORA1B	8	q12.1	55902723	55902855
RF02202	19	p13.12	15834730	15834804
SNORD115-18	15	q11.2	25203227	25203308
RNA5SP357	12	p11.1	34205699	34205817
RNA5SP422	16	p11.1	35754923	35755033
RN7SL584P	15	q11.1	20095733	20096029
MIR1206	8	q24.21	128008898	128008956
TSEN34	CHR_HSCHR19LRC_PGF2_CTG3_1		54190866	54195141
MIR4436A	2	p11.2	88812370	88812454
RNY3P16	X	q24	119456558	119456658
MIR4684	1	p36.12	22719517	22719598
RF00019	4	p16.3	2615124	2615224
AL662852.3	CHR_HSCHR6_MHC_COX_CTG1		29060593	29073129
MIR34A	1	p36.22	9151668	9151777
MIR4507	14	q32.33	105858124	105858175
RN7SL334P	6	p22.3	25031009	25031287
SNORD88C	19	q13.33	50802328	50802418
MIR6078	10	p15.1	3991160	3991259
RNU6-685P	2	p12	82268612	82268706
RN7SL159P	9	q34.11	129370170	129370461
MIR770	14	q32.2	100852390	100852487
MIR4311	15	q22.31	66040233	66040332
RNU5F-6P	1	q23.3	164351273	164351388
RF00019	CHR_HSCHR17_2_CTG5		46226740	46226841
RN7SL475P	1	p32.1	59974757	59975054
RF00019	2	q24.2	159536244	159536346
RN7SKP33	20	q13.12	46859333	46859672
RNU6-3P	X	q27.1	141118030	141118136
RNU6ATAC36P	5	q13.3	76948791	76948870
RNU6-127P	2	q21.1	131229607	131229713
RF00019	X	p22.12	21872707	21872808
RF02271	19	p13.2	11033727	11033912
AC012314.33	CHR_HSCHR19LRC_PGF1_CTG3_1		54115536	54131896
RF00096	15	q13.2	30581184	30581316
RNU6-343P	12	q13.3	56588518	56588621
SURF6	CHR_HG2030_PATCH		133328922	133336546
RNA5SP527	4	q13.2	67439992	67440118
MIR6125	12	q14.1	62260359	62260454
RNU1-107P	Y	q11.23	25723342	25723495
RF00019	14	q23.3	67340068	67340176
MIR1302-4	2	q33.3	207269275	207269424
MIR8055	8	p23.1	6622124	6622220
RN7SL776P	4	q32.3	167400495	167400762
MIR3670-3	16	p12.3	18405698	18405762
RNU6-500P	5	q35.2	173362134	173362240
RF00108	13	q14.11	39857135	39857227
RN7SKP163	6	q14.1	75654970	75655299
RNU6-505P	3	q24	146996607	146996713
MIR139	11	q13.4	72615063	72615130
MIR3651	9	q22.31	92292458	92292547
RF00443	6	q23.3	136855698	136855831
RN7SL101P	4	p15.1	28711198	28711476
MIR155	21	q21.3	25573980	25574044
MIR6090	11	q24.3	128522390	128522449
RNU4ATAC9P	4	q13.3	72965178	72965303
RNU6-795P	10	p11.1	38043873	38043975
RF00019	14	q32.11	90177222	90177330
MIR6802	19	q13.42	55239912	55239976
RN7SL456P	7	q35	147940007	147940301
SNORA19	10	q26.11	119060011	119060138
ASH1L-IT1	1	q22	155396010	155396978
FAM71E1	19	q13.33	50466785	50476753
ACTG1P21	1	p31.1	77773865	77774864
MYBPC2	19	q13.33	50432903	50466321
RCN3	19	q13.33	49527618	49546962
AC069209.1	12	q24.31	121190868	121191518
KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54726054	54736537
ARFGEF3	6	q23.3	138161921	138344663
LACTB	15	q22.2	63121800	63142061
AL357140.2	1	p36.22	9942923	9949974
PSAT1P2	2	p15	62552463	62553434
TRIAP1	12	q24.31	120443961	120446412
SLC26A4-AS1	7	q22.3	107653968	107662151
AC003982.1	12	q24.31	120389546	120395994
TRPV5	7	q34	142908101	142933808
CRSP8P	5	q14.1	80351021	80351956
COX6CP15	10	q22.3	77433572	77433782
AL133445.2	14	q24.1	69617122	69617648
OR2T10	1	q44	248590487	248597700
LINC01848	5	q21.3	109883182	109884751
OR2M4	1	q44	248231417	248244679
ZNF574	19	q13.2	42068477	42081549
HLA-DQB3	CHR_HSCHR6_MHC_MANN_CTG1		32884471	32885407
UBE2DNL	X	q21.1	84934151	84934890
RABGGTB	1	p31.1	75786197	75795079
MTCO3P1	CHR_HSCHR6_MHC_MANN_CTG1		32860339	32861169
PPOX	1	q23.3	161166410	161178013
FKBP11	12	q13.12	48921518	48926474
HDX	X	q21.1	84317874	84502479
AL157871.5	14	q32.2	100263781	100265405
AL157871.1	14	q32.2	100291117	100294656
RND1	12	q13.12	48857145	48865898
AC024937.2	3	q29	195996738	195998233
AC127070.2	12	q24.33	132911470	132914732
LENEP	1	q21.3	154993586	154994315
SYCP2	20	q13.33	59863563	59933655
AL390728.4	1	q44	247189851	247210856
AL096829.1	1	p31.1	75582099	75582555
AC093156.1	1	p31.1	75521562	75522231
AC005606.1	16	p13.3	1997654	1998374
AL713866.2	1	q31.2	191179521	191179739
AC124944.3	3	q29	195913078	195954485
ZNF598	16	p13.3	1997654	2009823
LINC01701	1	q31.1	189775465	189814918
PKNOX2-AS1	11	q24.2	125158461	125164609
AL035417.1	1	p34.1	44172506	44172719
OOSP1P1	1	p34.1	44155028	44155301
TRBC1	7	q34	142791694	142793368
PRSS1	7	q34	142749468	142753076
BTNL2	CHR_HSCHR6_MHC_MANN_CTG1		32433363	32446554
CACNB3	12	q13.12	48813794	48828941
PGBD4P1	7	q34	142722358	142722764
BX323046.1	1	q44	244864738	244865272
AL023284.3	6	q23.3	136364129	136365079
COX20	1	q44	244835322	244845057
AL356273.3	1	q25.3	185292384	185294372
AL356273.1	1	q25.3	185262286	185264356
APOBEC4	1	q25.3	183646404	183653316
KIR3DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54724479	54736494
AL139220.2	1	p34.1	44030443	44115913
AC112184.1	5	q14.1	80019609	80019920
COLGALT2	1	q25.3	183929854	184037729
THBS4	5	q14.1	79991311	80083287
AC004812.1	12	q24.23	120057035	120057180
ZNF507	19	q13.11	32345594	32387667
AL139220.1	1	p34.1	44087958	44088477
CCDC24	1	p34.1	43991359	43996528
SH3BGR	21	q22.2	39445855	39515506
TRMT112P2	5	q14.1	80033171	80033302
AC135803.1	1	p31.1	74698769	74699333
VDAC3P1	14	q32.2	99964529	99965378
RPS18	6	p21.32	33272010	33276510
TSEN15	1	q25.3	184051651	184123978
TMEM218	11	q24.2	125096545	125111763
RPS26P4	21	q22.2	39491544	39491898
AC117498.3	12	q13.12	48800576	48801086
WASH8P	12	p13.33	14522	32015
ACTN1-AS1	14	q24.1	68979682	68987463
RPS29P1	14	q24.1	69023150	69023308
WRB	21	q22.2	39377698	39428528
KIR2DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54738481	54752986
DHRS1	14	q12	24290598	24299833
SLC6A4	17	q11.2	30194319	30236002
VPS52	6	p21.32	33250272	33272047
CRYZ	1	p31.1	74705482	74733408
DDX18P1	14	q24.1	69083398	69085389
DCAF5	14	q24.1	69050881	69153150
SHC1	1	q21.3	154962298	154974395
AL445228.1	1	q25.3	184329071	184332826
AL445228.2	1	q25.3	184385753	184386704
AL078645.1	1	q25.3	184408337	184412360
AL078645.2	1	q25.3	184566511	184567835
C1orf21	1	q25.3	184387058	184629020
AC007773.1	19	q13.11	32390050	32405560
DPY19L3	19	q13.11	32405543	32485895
AL713852.1	1	q25.3	184635654	184664303
AC104984.1	17	q11.2	30204318	30206468
KIR3DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54816432	54830744
FAM161A	2	p15	61824854	61854143
EDEM3	1	q25.3	184690231	184754913
MYL6P2	21	q22.2	39488327	39488760
RASEF	9	q21.32	82979585	83063177
HCG25	6	p21.32	33249534	33254989
TRBV23-1	7	q34	142645961	142646467
ITLN1	1	q23.3	160876539	160885170
TYW3	1	p31.1	74733152	74766678
FGR	1	p35.3	27612064	27635277
AL391262.1	14	q24.1	69154311	69154804
FAM129A	1	q25.3	184790724	184974550
PHF19	9	q33.2	120855652	120894896
KIR2DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54754958	54767306
AL354714.2	1	q23.3	160894980	160896076
KIR2DS4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54832686	54848263
AL023284.1	6	q23.3	136317961	136318236
KIR2DL4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54803572	54814476
AL023284.4	6	q23.3	136335714	136336087
ILF3	19	p13.2	10654261	10692417
AC133865.1	1	p31.1	74963314	74965118
LINC01633	1	q25.3	185001527	185008683
AC099786.3	1	p31.1	75122518	75123927
ITLN2	1	q23.3	160945025	160954799
AL354714.3	1	q23.3	160931739	160934380
RNF2	1	q25.3	185045364	185102608
AL354714.4	1	q23.3	160935537	160936126
AL354714.1	1	q23.3	160932465	160949922
AC099786.1	1	p31.1	75127830	75133058
LHX8	1	p31.1	75128434	75161533
KIR2DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54769746	54783981
TEAD2	19	q13.33	49340595	49362457
FTH1P25	1	q25.3	185071567	185072035
AL359317.2	14	q24.1	69183020	69214092
AL359317.1	14	q24.1	69239166	69260567
AC099786.2	1	p31.1	75129974	75132576
GALNT16	14	q24.1	69259277	69357033
KIR3DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1		54786398	54798220
TRMT1L	1	q25.3	185118098	185157072
FAM138D	12	p13.33	36602	38133
AL591806.3	1	q23.3	160997957	161038962
AC008467.1	5	q21.3	109237120	109326369
C6orf10	CHR_HSCHR6_MHC_MANN_CTG1		32332098	32411315
TSTD1	1	q23.3	161037631	161038990
AL591806.2	1	q23.3	161034834	161035006
USP10	16	q24.1	84699978	84779922
F11R	1	q23.3	160995211	161021348
HTR2B	2	q37.1	231108230	231125118
AL356273.2	1	q25.3	185280844	185281816
SWT1	1	q25.3	185157080	185291765
RNU6-477P	5	q35.1	169552449	169552555
RN7SL5P	9	p23	9442060	9442380
RN7SL231P	19	p13.12	14213052	14213323
RNA5SP509	X	q21.1	77066709	77066827
RF02271	1	p35.3	29171285	29171453
RNU6-152P	1	q25.3	182327068	182327174
RN7SKP176	16	q23.3	81961926	81962243
RF00015	8	q24.13	123454981	123455107
RF00019	10	p12.33	17403508	17403620
RF01518	21	p11.2	8433085	8433174
RN7SL536P	15	q11.2	23363272	23363561
RN7SKP154	2	q21.2	133391109	133391398
RNA5SP387	14	q24.3	75604173	75604278
MIR4999	19	p13.2	8389290	8389380
RN7SL668P	1	q42.3	234904186	234904488
RF02218	CHR_HSCHR6_MHC_MCF_CTG1		30114397	30114464
RNU6-915P	2	q32.3	195670372	195670474
MIR4298	11	p15.5	1859464	1859536
RF00554	CHR_HSCHR6_MHC_DBB_CTG1		30123125	30123286
RNY1P12	3	q12.3	101662060	101662164
RNU6-151P	1	p13.2	111650431	111650537
RN7SL797P	6	q16.1	96282567	96282863
RF00019	9	q34.2	133302470	133302563
MIR30D	8	q24.22	134804876	134804945
RNU7-92P	20	q13.13	47904348	47904423
RNA5SP306	10	p12.1	25813811	25813917
SNORD115-10	15	q11.2	25187536	25187616
RF00003	CHR_HSCHR6_MHC_QBL_CTG1		32447192	32447340
RNA5SP323	10	q23.33	93510548	93510680
RF00322	7	p14.3	34892417	34892549
RF00004	17	q21.31	43241180	43241370
VSTM1	CHR_HSCHR19LRC_LRC_I_CTG3_1		54040833	54063953
RF00017	CHR_HSCHR3_1_CTG1		11954709	11955006
MIR8063	15	q14	36972821	36972901
RF00019	21	q21.1	17527140	17527247
RF00263	X	p22.11	24133186	24133317
RNU2-46P	9	q22.32	95859904	95860016
RN7SL388P	X	q13.1	72198712	72199050
RF00019	4	q35.1	185709873	185709967
RN7SKP150	5	q35.3	179845832	179846152
RN7SL796P	15	q13.2	30560644	30560934
RNU6-1283P	1	q44	246189014	246189118
SNORD84	CHR_HSCHR6_MHC_MANN_CTG1		31580561	31580638
RF00019	1	q25.3	185251313	185251411
RNU6-222P	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1		54868939	54869045
RN7SL786P	11	q13.5	75742129	75742426
AC012314.21	CHR_HSCHR19LRC_COX2_CTG3_1		54102906	54107026
MIR181B2	9	q33.3	124693710	124693798
RF00568	1	q32.3	212025561	212025682
RNU6-72P	11	q13.4	72047873	72047951
MIR375	2	q35	219001645	219001708
RNA5SP225	6	q25.2	153420438	153420572
RNU4-38P	3	q26.2	170057301	170057429
RNU6-153P	6	q27	166209403	166209506
RN7SKP117	5	q23.2	125350868	125351131
RF00019	X	p11.22	53324562	53324674
RNA5SP301	10	p13	13727796	13727916
RF00019	1	p32.3	55484871	55484972
RNU6-950P	12	q13.13	54317781	54317887
RF02204	11	p13	32436311	32436447
RNA5SP401	15	q26.2	97472126	97472252
RNU6ATAC29P	3	p21.2	51611438	51611562
MIR603	10	p12.2	24275685	24275781
RF00019	3	p24.3	23273807	23273910
RF00139	3	q26.31	172771277	172771405
NLRP2	CHR_HSCHR19LRC_LRC_I_CTG3_1		54970903	55006759
RNA5SP430	16	q23.1	75861048	75861157
RN7SKP15	12	p11.22	27806082	27806390
RF01684	11	q13.1	65506117	65506173
RNU6-1323P	X	q23	116850839	116850945
RNA5SP329	11	p15.4	6016996	6017114
RNU1-15P	7	p15.3	21381363	21381506
AC005086.2	7	q22.1	102188599	102188828
RNU2-15P	1	p31.3	65415816	65416006
RNA5SP367	12	q23.2	101472339	101472456
RNU6-552P	14	q21.2	45274359	45274477
SNORD102	13	q12.2	27255064	27255135
SNORD52	CHR_HSCHR6_MHC_QBL_CTG1		31827320	31827386
ATP5PBP6	6	q24.1	139614438	139615204
AL592429.1	6	q24.1	139338018	139339580
KLF7-IT1	2	q33.3	207120884	207122044
TXLNB	6	q24.1	139240061	139292139
AC008264.1	7	q32.3	131520137	131520503
AL353807.4	1	q22	155566050	155566306
FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54874290	54891462
EMC10	19	q13.33	50476400	50490870
AC092127.2	16	q24.1	85580009	85583571
AC138392.1	1	p31.1	77810861	77811781
AC020909.2	19	q13.33	50486810	50487638
AC010395.1	5	q22.1	110970951	111008899
AC010395.2	5	q22.1	110983563	110984466
KIR3DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54816470	54830813
KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54803599	54814548
KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1		54832771	54848624
AC007406.5	12	p13.33	273954	277123
AC234582.1	1	q22	155195004	155205495
MTX1	1	q22	155208699	155213824
GBAP1	1	q22	155213821	155227422
Z98941.1	12	q24.31	121149010	121149109
TPI1P1	1	p31.1	76699789	76700538
AC034102.2	12	q13.2	56101331	56109289
AC104458.1	1	p31.1	76636877	76637339
PA2G4	12	q13.2	56104319	56113907
AL713999.1	1	q22	155169409	155187272
AL357060.1	6	q23.3	137823673	137868233
H2AFZ	4	q23	99948086	99950388
MTND2P3	Y	p11.2	8372241	8372710
SLC44A1	9	q31.1	105244622	105439171
FOXD3-AS1	1	p31.3	63320884	63324441
LINC00466	1	p31.3	63159087	63317274
AC096543.2	1	p31.3	63249920	63251771
AC096543.1	1	p31.3	63139250	63163153
MTND6P1	Y	p11.2	8363536	8363959
AL162400.2	1	p31.3	63078081	63079031
AL162400.1	1	p31.3	63024207	63025658
LINC01739	1	p31.3	62975751	63022504
VPS37C	11	q12.2	61130256	61161617
AC099794.2	1	p31.3	62905180	62905482
TSPY24P	Y	p11.2	8280198	8282209
RPS27L	15	q22.2	63125872	63158021
AL354920.1	9	q21.32	83707594	83713378
AC005899.3	17	q11.2	32328441	32329395
IFNGR1	6	q23.3	137197484	137219449
LINC-PINT	7	q32.3	130876809	130913310
TAP2	CHR_HSCHR6_MHC_MANN_CTG1		32975593	32992541
TMEM17	2	p15	62500221	62511894
AC103923.1	1	p31.3	62688482	62710694
ADM2	22	q13.33	50481556	50486440
AC093382.1	2	q35	215939308	215941719
ZNF736P9Y	Y	p11.2	8068896	8070723
AC010678.1	Y	p11.2	7905536	7907303
RIN3	14	q32.12	92513774	92688994
AC007275.1	Y	p11.2	7845485	7846454
PTH2	19	q13.33	49422414	49423441
OR2T35	1	q44	248636356	248645278
AC098483.2	1	q44	248601416	248601869
GRIK5	19	q13.2	41998321	42069498
AL691517.1	X	q21.1	81600072	81601306
PYGO2	1	q21.3	154957026	154963853
TRBV28	7	q34	142720660	142721160
TRBV26	7	q34	142695699	142696183
TRBV12-5	7	q34	142580917	142581427
AC034207.1	5	q21.3	108784098	108785552
SLC6A9	1	p34.1	43991500	44031467
PMVK	1	q21.3	154924734	154936991
AL451007.3	1	q44	244729898	244730962
AL451007.2	1	q44	244731024	244731586
RABAC1	19	q13.2	41956681	41959390
AC092143.1	16	q24.3	89919165	89936092
AC011518.1	19	q13.11	32103583	32106537
AL355802.1	6	p21.1	43538822	43539703
POLR1C	6	p21.1	43509702	43562419
NARF-IT1	17	q25.3	82482098	82483388
